mu_max,T
4.67358e-05,0.493493
4.37486e-05,0.494494
4.18395e-05,0.495495
3.96486e-05,0.496496
3.72522e-05,0.497497
3.56485e-05,0.498498
3.43231e-05,0.499499
3.28655e-05,0.500501
3.17751e-05,0.501502
3.02973e-05,0.502503
2.90989e-05,0.503504
2.81838e-05,0.504505
2.72628e-05,0.505506
2.62034e-05,0.506507
2.54472e-05,0.507508
2.4833e-05,0.508509
2.3888e-05,0.50951
2.31968e-05,0.510511
2.26791e-05,0.511512
2.19538e-05,0.512513
2.13019e-05,0.513514
2.07117e-05,0.514515
2.05039e-05,0.515516
1.97576e-05,0.516517
1.92967e-05,0.517518
1.89738e-05,0.518519
1.84491e-05,0.51952
1.7886e-05,0.520521
1.77378e-05,0.521522
1.72221e-05,0.522523
1.67846e-05,0.523524
1.66979e-05,0.524525
1.62611e-05,0.525526
1.58203e-05,0.526527
1.54257e-05,0.527528
1.52777e-05,0.528529
1.51564e-05,0.52953
1.4724e-05,0.530531
1.47367e-05,0.531532
1.43141e-05,0.532533
1.39001e-05,0.533534
1.40173e-05,0.534535
1.37355e-05,0.535536
1.33186e-05,0.536537
1.32522e-05,0.537538
1.29894e-05,0.538539
1.27113e-05,0.53954
1.2777e-05,0.540541
1.22849e-05,0.541542
1.23274e-05,0.542543
1.19977e-05,0.543544
1.17801e-05,0.544545
1.1816e-05,0.545546
1.1587e-05,0.546547
1.15184e-05,0.547548
1.13283e-05,0.548549
1.13003e-05,0.54955
1.10897e-05,0.550551
1.0904e-05,0.551552
1.0731e-05,0.552553
1.05621e-05,0.553554
1.04579e-05,0.554555
1.03206e-05,0.555556
1.02117e-05,0.556557
9.95802e-06,0.557558
1.0009e-05,0.558559
9.85507e-06,0.55956
9.84862e-06,0.560561
9.77516e-06,0.561562
9.62411e-06,0.562563
9.49258e-06,0.563564
9.40248e-06,0.564565
9.14505e-06,0.565566
9.19821e-06,0.566567
8.97538e-06,0.567568
9.03143e-06,0.568569
8.86339e-06,0.56957
8.7102e-06,0.570571
8.62083e-06,0.571572
8.58361e-06,0.572573
8.55192e-06,0.573574
8.44905e-06,0.574575
8.47153e-06,0.575576
8.22802e-06,0.576577
8.18422e-06,0.577578
8.21925e-06,0.578579
7.97701e-06,0.57958
8.03118e-06,0.580581
8.04007e-06,0.581582
7.87889e-06,0.582583
7.7289e-06,0.583584
7.03143e-06,0.584585
7.02257e-06,0.585586
6.74441e-06,0.586587
6.74513e-06,0.587588
6.75259e-06,0.588589
6.4912e-06,0.58959
7.25807e-06,0.590591
7.42107e-06,0.591592
7.3193e-06,0.592593
7.2029e-06,0.593594
7.28116e-06,0.594595
7.15519e-06,0.595596
7.04326e-06,0.596597
6.93843e-06,0.597598
6.92922e-06,0.598599
6.85477e-06,0.5996
6.79436e-06,0.600601
6.72991e-06,0.601602
6.52852e-06,0.602603
6.30314e-06,0.603604
6.36593e-06,0.604605
6.1491e-06,0.605606
6.2186e-06,0.606607
6.29471e-06,0.607608
6.45357e-06,0.608609
6.4277e-06,0.60961
6.39689e-06,0.610611
6.37944e-06,0.611612
6.3912e-06,0.612613
6.35175e-06,0.613614
6.32014e-06,0.614615
6.29835e-06,0.615616
6.24272e-06,0.616617
6.24912e-06,0.617618
5.9762e-06,0.618619
5.99143e-06,0.61962
5.94638e-06,0.620621
5.95401e-06,0.621622
5.95205e-06,0.622623
5.96224e-06,0.623624
5.97521e-06,0.624625
5.7126e-06,0.625626
5.70207e-06,0.626627
5.68539e-06,0.627628
5.13443e-06,0.628629
4.99879e-06,0.62963
4.8673e-06,0.630631
4.7395e-06,0.631632
4.89101e-06,0.632633
4.76496e-06,0.633634
4.64256e-06,0.634635
5.553e-06,0.635636
5.58984e-06,0.636637
5.35715e-06,0.637638
5.39509e-06,0.638639
5.4667e-06,0.63964
5.24091e-06,0.640641
5.29469e-06,0.641642
5.35475e-06,0.642643
5.34197e-06,0.643644
5.12418e-06,0.644645
5.19054e-06,0.645646
5.27098e-06,0.646647
5.33183e-06,0.647648
5.14163e-06,0.648649
5.23136e-06,0.64965
5.04358e-06,0.650651
5.12705e-06,0.651652
4.94623e-06,0.652653
4.94316e-06,0.653654
5.01784e-06,0.654655
4.81574e-06,0.655656
4.89678e-06,0.656657
4.9004e-06,0.657658
5.00343e-06,0.658659
4.8196e-06,0.65966
4.92419e-06,0.660661
4.74975e-06,0.661662
4.78979e-06,0.662663
4.89522e-06,0.663664
4.71044e-06,0.664665
4.81299e-06,0.665666
4.63349e-06,0.666667
4.77363e-06,0.667668
4.61539e-06,0.668669
4.72972e-06,0.66967
4.56993e-06,0.670671
4.68701e-06,0.671672
4.52364e-06,0.672673
4.66652e-06,0.673674
4.5045e-06,0.674675
4.62211e-06,0.675676
4.46425e-06,0.676677
4.58642e-06,0.677678
4.61148e-06,0.678679
4.46336e-06,0.67968
4.3197e-06,0.680681
4.45478e-06,0.681682
4.31488e-06,0.682683
4.5455e-06,0.683684
4.40534e-06,0.684685
4.27094e-06,0.685686
4.41131e-06,0.686687
4.27716e-06,0.687688
4.20866e-06,0.688689
4.34536e-06,0.68969
4.19945e-06,0.690691
4.33935e-06,0.691692
4.1986e-06,0.692693
3.70476e-06,0.693694
3.89533e-06,0.694695
3.80801e-06,0.695696
3.72292e-06,0.696697
3.63989e-06,0.697698
3.83536e-06,0.698699
4.14109e-06,0.6997
4.02696e-06,0.700701
4.19403e-06,0.701702
4.07939e-06,0.702703
3.96856e-06,0.703704
4.13843e-06,0.704705
4.17774e-06,0.705706
4.05823e-06,0.706707
3.94268e-06,0.707708
4.10792e-06,0.708709
3.99256e-06,0.70971
3.8796e-06,0.710711
3.79397e-06,0.711712
3.96793e-06,0.712713
3.86505e-06,0.713714
3.76502e-06,0.714715
3.94251e-06,0.715716
3.84159e-06,0.716717
3.74636e-06,0.717718
3.91617e-06,0.718719
3.81039e-06,0.71972
3.70634e-06,0.720721
3.87811e-06,0.721722
3.775e-06,0.722723
3.56147e-06,0.723724
3.75002e-06,0.724725
3.66085e-06,0.725726
3.57444e-06,0.726727
3.4898e-06,0.727728
3.68066e-06,0.728729
2.46619e-06,0.72973
2.43239e-06,0.730731
2.39927e-06,0.731732
2.36666e-06,0.732733
2.33464e-06,0.733734
2.56979e-06,0.734735
2.53594e-06,0.735736
3.3609e-06,0.736737
3.55589e-06,0.737738
3.47565e-06,0.738739
3.39768e-06,0.73974
3.32142e-06,0.740741
3.52005e-06,0.741742
3.47201e-06,0.742743
3.65843e-06,0.743744
3.56751e-06,0.744745
3.48045e-06,0.745746
3.39409e-06,0.746747
3.58262e-06,0.747748
3.32638e-06,0.748749
3.25551e-06,0.74975
3.18634e-06,0.750751
3.38906e-06,0.751752
3.31824e-06,0.752753
3.2491e-06,0.753754
3.52851e-06,0.754755
3.43983e-06,0.755756
3.35325e-06,0.756757
3.54479e-06,0.757758
3.45736e-06,0.758759
3.37204e-06,0.75976
3.25028e-06,0.760761
3.18272e-06,0.761762
3.11694e-06,0.762763
3.05264e-06,0.763764
3.2611e-06,0.764765
3.19485e-06,0.765766
2.71474e-06,0.766767
2.66766e-06,0.767768
2.62156e-06,0.768769
2.57632e-06,0.76977
2.79957e-06,0.770771
2.75245e-06,0.771772
2.70627e-06,0.772773
